<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	19753.61	19850.03	19589.73	19818.78	0	0	0
2024.07.02	19828.11	20035.43	19685.73	20018.73	0	0	0
2024.07.03	20019.69	20217.03	19984.66	20199.53	0	0	0
2024.07.04	20187.82	20202.38	20153.63	20164.93	0	0	0
2024.07.05	20165.29	20419.23	20146.48	20396.83	0	0	0
2024.07.08	20383.48	20466.93	20365.08	20463.38	0	0	0
2024.07.09	20481.06	20561.93	20406.48	20478.43	0	0	0
2024.07.10	20478.90	20703.93	20476.53	20688.03	0	0	0
2024.07.11	20701.16	20771.78	20170.48	20225.58	0	0	0
2024.07.12	20232.11	20539.18	20140.98	20339.58	0	0	0
2024.07.15	20410.21	20603.13	20320.13	20442.33	0	0	0
2024.07.16	20451.06	20501.88	20284.73	20405.98	0	0	0
2024.07.17	20409.56	20412.78	19788.18	19838.68	0	0	0
2024.07.18	19857.96	19991.08	19588.18	19763.78	0	0	0
2024.07.19	19786.33	19810.83	19495.48	19541.53	0	0	0
2024.07.22	19579.81	19879.63	19557.13	19815.08	0	0	0
2024.07.23	19822.46	19930.03	19712.93	19792.53	0	0	0
2024.07.24	19677.03	19704.43	19023.98	19123.73	0	0	0
2024.07.25	19115.36	19242.58	18740.48	18852.73	0	0	0
2024.07.26	18862.78	19167.03	18853.78	19047.73	0	0	0
2024.07.29	19038.81	19249.76	18987.68	19096.13	0	0	0
2024.07.30	19080.66	19191.18	18600.48	18735.48	0	0	0
2024.07.31	18745.73	19516.48	18734.63	19454.63	0	0	0
2024.08.01	19470.89	19593.73	18748.73	18848.33	0	0	0
2024.08.02	18827.81	18861.53	18272.38	18450.38	0	0	0
2024.08.05	18204.73	18266.98	17235.69	18015.06	0	0	0
2024.08.06	18082.88	18356.99	17841.74	17975.42	0	0	0
2024.08.07	17966.59	18434.93	17713.86	17733.36	0	0	0
2024.08.08	17807.50	18484.45	17628.53	18438.65	0	0	0
2024.08.09	18455.15	18555.98	18266.01	18493.91	0	0	0
2024.08.12	18476.40	18654.85	18407.15	18516.03	0	0	0
2024.08.13	18534.16	19014.28	18522.66	18993.66	0	0	0
2024.08.14	19009.66	19100.24	18823.36	19043.54	0	0	0
2024.08.15	19035.34	19499.54	18997.09	19464.84	0	0	0
2024.08.16	19463.49	19578.72	19344.97	19514.99	0	0	0
2024.08.19	19524.81	19777.68	19432.16	19759.18	0	0	0
2024.08.20	19781.12	19840.10	19652.82	19713.75	0	0	0
2024.08.21	19714.00	19894.33	19684.70	19830.38	0	0	0
2024.08.22	19838.36	19940.21	19458.31	19527.36	0	0	0
2024.08.23	19541.49	19821.32	19511.57	19700.62	0	0	0
2024.08.26	19713.13	19774.23	19436.08	19478.26	0	0	0
2024.08.27	19491.12	19626.69	19374.57	19567.99	0	0	0
2024.08.28	19574.54	19625.77	19210.79	19246.54	0	0	0
2024.08.29	19142.66	19630.74	19080.04	19385.91	0	0	0
2024.08.30	19391.58	19573.28	19311.41	19537.08	0	0	0
2024.09.02	19557.53	19619.98	19463.13	19586.23	0	0	0
2024.09.03	19612.30	19636.05	18865.12	18948.67	0	0	0
2024.09.04	18946.34	19070.42	18781.84	18919.84	0	0	0
2024.09.05	18929.95	19108.40	18787.55	18882.83	0	0	0
2024.09.06	18887.08	18930.68	18388.70	18402.08	0	0	0
2024.09.09	18390.73	18703.35	18356.10	18691.48	0	0	0
2024.09.10	18702.50	18848.45	18555.35	18807.25	0	0	0
2024.09.11	18817.19	19269.26	18524.14	19223.69	0	0	0
2024.09.12	19218.65	19461.35	19165.23	19392.28	0	0	0
2024.09.13	19397.59	19556.66	19378.19	19493.46	0	0	0
2024.09.16	19509.94	19536.94	19290.27	19409.69	0	0	0
2024.09.17	19421.02	19608.72	19334.85	19443.77	0	0	0
2024.09.18	19446.38	19659.21	19322.83	19392.63	0	0	0
2024.09.19	19401.26	19962.83	19396.88	19822.88	0	0	0
2024.09.20	19829.29	19847.11	19623.49	19771.91	0	0	0
2024.09.23	19805.89	19936.26	19728.61	19836.39	0	0	0
2024.09.24	19841.62	19990.32	19730.19	19960.99	0	0	0
2024.09.25	19964.99	20049.69	19843.59	20020.49	0	0	0
2024.09.26	20025.98	20319.33	19970.06	20127.61	0	0	0
2024.09.27	20133.19	20179.54	19958.51	19990.81	0	0	0
2024.09.30	19987.50	20079.20	19850.83	20036.75	0	0	0
2024.10.01	20034.87	20125.99	19614.19	19760.37	0	0	0
2024.10.02	19771.96	19884.16	19628.79	19861.34	0	0	0
2024.10.03	19849.91	19911.11	19649.64	19766.91	0	0	0
2024.10.04	19754.85	20063.70	19742.35	20003.22	0	0	0
2024.10.07	20043.82	20074.19	19758.39	19825.82	0	0	0
2024.10.08	19838.47	20142.04	19716.97	20097.34	0	0	0
2024.10.09	20102.58	20298.03	20011.68	20259.58	0	0	0
2024.10.10	20266.44	20325.89	20120.89	20256.57	0	0	0
2024.10.11	20255.63	20315.33	20136.21	20237.38	0	0	0
2024.10.14	20261.93	20509.63	20213.93	20466.06	0	0	0
2024.10.15	20464.06	20492.13	20088.13	20165.68	0	0	0
2024.10.16	20168.68	20232.93	20042.88	20163.56	0	0	0
2024.10.17	20164.79	20433.14	20116.29	20226.16	0	0	0
2024.10.18	20235.27	20371.84	20163.27	20326.39	0	0	0
2024.10.21	20350.82	20405.64	20195.54	20396.07	0	0	0
2024.10.22	20389.70	20456.15	20215.05	20378.95	0	0	0
2024.10.23	20369.85	20399.70	19936.55	20134.22	0	0	0
2024.10.24	20154.47	20287.07	20122.42	20243.97	0	0	0
2024.10.25	20256.55	20570.37	20226.92	20338.30	0	0	0
2024.10.28	20406.85	20548.57	20358.30	20380.72	0	0	0
2024.10.29	20388.90	20634.77	20307.75	20583.27	0	0	0
2024.10.30	20612.66	20666.16	20351.78	20376.41	0	0	0
2024.10.31	20358.18	20375.06	19888.88	19905.18	0	0	0
2024.11.01	19960.28	20168.98	19899.41	20049.16	0	0	0
2024.11.04	20014.67	20138.67	19904.00	19994.80	0	0	0
2024.11.05	20017.82	20278.44	19935.57	20246.44	0	0	0
2024.11.06	20258.85	20830.47	20220.22	20830.22	0	0	0
2024.11.07	20813.13	21152.08	20760.38	21124.88	0	0	0
2024.11.08	21120.66	21163.36	21020.76	21132.04	0	0	0
2024.11.11	21183.17	21247.90	21006.12	21120.92	0	0	0
2024.11.12	21116.30	21161.87	20965.87	21091.67	0	0	0
2024.11.13	21092.47	21182.04	20972.42	21076.72	0	0	0
2024.11.14	21072.99	21106.59	20866.99	20897.37	0	0	0
2024.11.15	20889.97	20889.97	20322.17	20418.22	0	0	0
2024.11.18	20412.81	20647.63	20400.43	20553.68	0	0	0
2024.11.19	20563.74	20718.69	20309.22	20685.74	0	0	0
2024.11.20	20685.49	20772.47	20406.94	20662.87	0	0	0
2024.11.21	20662.56	20833.91	20443.13	20729.18	0	0	0
2024.11.22	20708.62	20811.32	20625.10	20808.62	0	0	0
2024.11.25	20874.96	21020.91	20720.91	20842.58	0	0	0
2024.11.26	20845.07	20967.77	20698.45	20946.45	0	0	0
2024.11.27	20934.78	20962.15	20620.23	20750.53	0	0	0
2024.11.28	20758.53	20857.10	20758.53	20838.85	0	0	0
2024.11.29	20831.95	20967.03	20755.80	20936.65	0	0	0
2024.12.02	20961.82	21218.52	20899.07	21175.95	0	0	0
2024.12.03	21170.81	21289.31	21096.16	21286.81	0	0	0
2024.12.04	21277.57	21512.27	21269.82	21481.45	0	0	0
2024.12.05	21472.35	21532.30	21402.73	21419.98	0	0	0
2024.12.06	21415.91	21633.98	21389.78	21598.03	0	0	0
2024.12.09	21608.60	21678.83	21410.05	21452.85	0	0	0
2024.12.10	21456.16	21581.99	21328.49	21408.91	0	0	0
2024.12.11	21413.63	21797.70	21383.85	21733.25	0	0	0
2024.12.12	21736.86	21753.23	21585.61	21618.86	0	0	0
2024.12.13	21723.57	21889.77	21649.15	21744.07	0	0	0
2024.12.16	21771.32	22142.39	21752.57	22101.94	0	0	0
2024.12.17	22101.71	22117.71	21936.16	21997.21	0	0	0
2024.12.18	21995.14	22085.11	21009.01	21166.14	0	0	0
2024.12.19	21197.97	21398.57	21047.22	21107.60	0	0	0
2024.12.20	21120.39	21515.09	20710.12	21248.64	0	0	0
2024.12.23	21331.83	21487.78	21188.40	21450.58	0	0	0
2024.12.24	21465.16	21763.61	21423.91	21753.86	0	0	0
2024.12.26	21771.69	21832.69	21592.76	21705.44	0	0	0
2024.12.27	21712.34	21733.46	21226.41	21445.84	0	0	0
2024.12.30	21466.51	21478.14	20990.84	21122.14	0	0	0
2024.12.31	21123.05	21264.02	20921.75	20977.05	0	0	0
2025.01.02	21009.39	21237.12	20731.34	20927.89	0	0	0
2025.01.03	20926.74	21307.06	20892.24	21235.99	0	0	0
2025.01.06	21296.45	21655.02	21238.45	21536.32	0	0	0
