<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	01:00:00	19753.61	19762.43	19722.88	19751.63	0	0	0
2024.07.01	02:00:00	19756.51	19756.76	19712.78	19723.98	0	0	0
2024.07.01	03:00:00	19723.23	19761.63	19710.63	19760.88	0	0	0
2024.07.01	04:00:00	19760.93	19770.63	19754.48	19768.33	0	0	0
2024.07.01	05:00:00	19768.38	19780.33	19766.83	19775.18	0	0	0
2024.07.01	06:00:00	19775.78	19783.08	19763.98	19774.23	0	0	0
2024.07.01	07:00:00	19774.08	19774.68	19753.18	19758.43	0	0	0
2024.07.01	08:00:00	19758.38	19786.48	19756.08	19785.58	0	0	0
2024.07.01	09:00:00	19785.68	19798.03	19778.48	19785.13	0	0	0
2024.07.01	10:00:00	19785.23	19793.88	19709.73	19723.43	0	0	0
2024.07.01	11:00:00	19724.23	19767.53	19695.03	19704.58	0	0	0
2024.07.01	12:00:00	19705.33	19719.98	19679.88	19713.78	0	0	0
2024.07.01	13:00:00	19711.48	19736.23	19708.58	19731.13	0	0	0
2024.07.01	14:00:00	19729.73	19761.28	19729.48	19754.03	0	0	0
2024.07.01	15:00:00	19753.83	19767.73	19742.13	19754.73	0	0	0
2024.07.01	16:00:00	19755.48	19768.23	19619.23	19664.13	0	0	0
2024.07.01	17:00:00	19676.48	19728.08	19589.73	19685.68	0	0	0
2024.07.01	18:00:00	19685.48	19754.23	19663.23	19753.73	0	0	0
2024.07.01	19:00:00	19753.93	19802.43	19734.78	19790.01	0	0	0
2024.07.01	20:00:00	19789.93	19796.38	19754.03	19775.73	0	0	0
2024.07.01	21:00:00	19775.93	19826.58	19758.93	19790.23	0	0	0
2024.07.01	22:00:00	19790.13	19850.03	19760.23	19826.23	0	0	0
2024.07.01	23:00:00	19824.98	19835.68	19816.78	19818.78	0	0	0
2024.07.02	01:00:00	19828.11	19830.33	19805.53	19806.88	0	0	0
2024.07.02	02:00:00	19807.18	19808.23	19788.33	19795.58	0	0	0
2024.07.02	03:00:00	19796.98	19801.88	19745.63	19762.28	0	0	0
2024.07.02	04:00:00	19762.23	19775.38	19755.23	19764.26	0	0	0
2024.07.02	05:00:00	19764.18	19768.38	19738.38	19750.26	0	0	0
2024.07.02	06:00:00	19750.03	19758.48	19738.86	19757.58	0	0	0
2024.07.02	07:00:00	19757.68	19766.83	19754.78	19758.88	0	0	0
2024.07.02	08:00:00	19758.93	19789.98	19752.63	19786.43	0	0	0
2024.07.02	09:00:00	19786.68	19792.13	19758.83	19765.48	0	0	0
2024.07.02	10:00:00	19765.38	19765.38	19712.33	19741.93	0	0	0
2024.07.02	11:00:00	19741.88	19750.93	19710.48	19734.93	0	0	0
2024.07.02	12:00:00	19735.23	19745.68	19716.53	19732.73	0	0	0
2024.07.02	13:00:00	19733.48	19742.13	19720.93	19738.43	0	0	0
2024.07.02	14:00:00	19739.38	19740.43	19685.73	19709.23	0	0	0
2024.07.02	15:00:00	19709.68	19736.33	19703.93	19722.23	0	0	0
2024.07.02	16:00:00	19721.83	19870.83	19719.68	19837.98	0	0	0
2024.07.02	17:00:00	19847.23	19898.43	19793.23	19885.18	0	0	0
2024.07.02	18:00:00	19885.43	19930.63	19859.38	19869.58	0	0	0
2024.07.02	19:00:00	19869.28	19902.03	19839.78	19901.33	0	0	0
2024.07.02	20:00:00	19901.28	19991.08	19894.48	19984.48	0	0	0
2024.07.02	21:00:00	19984.78	20015.18	19979.63	19998.03	0	0	0
2024.07.02	22:00:00	19996.23	20034.33	19987.48	20031.58	0	0	0
2024.07.02	23:00:00	20031.98	20035.43	20007.43	20018.73	0	0	0
2024.07.03	01:00:00	20019.69	20029.83	20008.63	20026.28	0	0	0
