<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	01:00:00	19753.61	19760.08	19722.88	19757.23	0	0	0
2024.07.01	01:30:00	19758.48	19762.43	19746.28	19751.63	0	0	0
2024.07.01	02:00:00	19756.51	19756.76	19712.78	19741.18	0	0	0
2024.07.01	02:30:00	19741.63	19745.33	19720.83	19723.98	0	0	0
2024.07.01	03:00:00	19723.23	19754.78	19710.63	19752.23	0	0	0
2024.07.01	03:30:00	19752.41	19761.63	19749.28	19760.88	0	0	0
2024.07.01	04:00:00	19760.93	19769.03	19754.48	19762.38	0	0	0
2024.07.01	04:30:00	19762.43	19770.63	19759.93	19768.33	0	0	0
2024.07.01	05:00:00	19768.38	19777.33	19766.83	19772.68	0	0	0
2024.07.01	05:30:00	19773.63	19780.33	19773.33	19775.18	0	0	0
2024.07.01	06:00:00	19775.78	19783.08	19768.33	19771.73	0	0	0
2024.07.01	06:30:00	19771.88	19777.88	19763.98	19774.23	0	0	0
2024.07.01	07:00:00	19774.08	19774.68	19766.78	19768.68	0	0	0
2024.07.01	07:30:00	19768.53	19770.93	19753.18	19758.43	0	0	0
2024.07.01	08:00:00	19758.38	19776.68	19756.08	19775.73	0	0	0
2024.07.01	08:30:00	19776.73	19786.48	19775.98	19785.58	0	0	0
2024.07.01	09:00:00	19785.68	19798.03	19782.53	19791.83	0	0	0
2024.07.01	09:30:00	19792.48	19796.78	19778.48	19785.13	0	0	0
2024.07.01	10:00:00	19785.23	19793.88	19750.33	19750.68	0	0	0
2024.07.01	10:30:00	19750.58	19759.13	19709.73	19723.43	0	0	0
2024.07.01	11:00:00	19724.23	19759.08	19723.48	19757.83	0	0	0
2024.07.01	11:30:00	19758.08	19767.53	19695.03	19704.58	0	0	0
2024.07.01	12:00:00	19705.33	19712.83	19679.88	19687.63	0	0	0
2024.07.01	12:30:00	19687.58	19719.98	19685.78	19713.78	0	0	0
2024.07.01	13:00:00	19711.48	19726.63	19709.48	19713.13	0	0	0
2024.07.01	13:30:00	19713.08	19736.23	19708.58	19731.13	0	0	0
2024.07.01	14:00:00	19729.73	19754.28	19729.48	19746.28	0	0	0
2024.07.01	14:30:00	19746.93	19761.28	19745.23	19754.03	0	0	0
2024.07.01	15:00:00	19753.83	19767.73	19748.83	19757.58	0	0	0
2024.07.01	15:30:00	19756.93	19764.48	19742.13	19754.73	0	0	0
2024.07.01	16:00:00	19755.48	19768.23	19727.28	19746.13	0	0	0
2024.07.01	16:30:00	19746.38	19761.03	19619.23	19664.13	0	0	0
2024.07.01	17:00:00	19676.48	19722.63	19589.73	19713.78	0	0	0
2024.07.01	17:30:00	19713.98	19728.08	19642.23	19685.68	0	0	0
2024.07.01	18:00:00	19685.48	19733.78	19663.23	19728.73	0	0	0
2024.07.01	18:30:00	19727.93	19754.23	19700.73	19753.73	0	0	0
2024.07.01	19:00:00	19753.93	19795.28	19734.78	19793.43	0	0	0
2024.07.01	19:30:00	19793.58	19802.43	19779.18	19790.01	0	0	0
2024.07.01	20:00:00	19789.93	19796.38	19754.03	19782.68	0	0	0
2024.07.01	20:30:00	19782.58	19791.18	19763.98	19775.73	0	0	0
2024.07.01	21:00:00	19775.93	19826.58	19758.93	19782.73	0	0	0
2024.07.01	21:30:00	19782.83	19795.38	19766.73	19790.23	0	0	0
2024.07.01	22:00:00	19790.13	19821.48	19760.23	19783.73	0	0	0
