<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	2325.58	2338.54	2318.57	2331.54	120468	0	0
2024.07.02	2329.62	2336.77	2319.04	2329.21	112336	0	0
2024.07.03	2329.20	2364.97	2326.86	2355.62	122986	0	0
2024.07.04	2356.74	2362.48	2350.58	2357.42	63997	0	0
2024.07.05	2354.41	2392.90	2347.82	2391.09	135400	0	0
2024.07.08	2386.00	2391.09	2350.93	2358.80	121673	0	0
2024.07.09	2358.84	2371.55	2349.48	2363.67	122570	0	0
2024.07.10	2363.42	2386.69	2363.10	2370.91	106038	0	0
2024.07.11	2371.03	2424.56	2370.57	2414.91	139813	0	0
2024.07.12	2414.60	2418.28	2391.48	2410.90	130918	0	0
2024.07.15	2411.05	2439.64	2401.34	2422.04	138758	0	0
2024.07.16	2421.24	2469.69	2420.03	2468.54	141320	0	0
2024.07.17	2467.41	2483.68	2451.47	2458.68	173676	0	0
2024.07.18	2457.95	2474.92	2440.37	2445.14	155101	0	0
2024.07.19	2444.91	2445.74	2393.82	2400.85	163024	0	0
2024.07.22	2401.26	2412.16	2383.82	2396.46	142519	0	0
2024.07.23	2395.68	2412.05	2388.29	2409.17	142293	0	0
2024.07.24	2408.45	2432.02	2396.70	2397.19	152887	0	0
2024.07.25	2396.74	2401.20	2353.09	2364.27	210671	0	0
2024.07.26	2363.55	2390.80	2355.82	2386.95	158732	0	0
2024.07.29	2385.25	2403.17	2369.66	2383.85	158949	0	0
2024.07.30	2382.81	2412.86	2376.47	2410.61	154712	0	0
2024.07.31	2410.02	2450.96	2403.88	2447.27	186402	0	0
2024.08.01	2448.42	2462.30	2430.24	2446.19	208120	0	0
2024.08.02	2445.40	2477.73	2410.78	2442.43	224142	0	0
2024.08.05	2445.09	2458.12	2364.19	2410.14	283889	0	0
2024.08.06	2408.42	2418.35	2381.60	2390.43	227332	0	0
2024.08.07	2390.08	2407.02	2379.07	2382.63	189312	0	0
2024.08.08	2381.43	2427.57	2379.60	2427.06	193814	0	0
2024.08.09	2426.96	2437.05	2416.89	2430.99	155611	0	0
2024.08.12	2430.54	2473.12	2423.86	2472.77	137047	0	0
2024.08.13	2468.95	2476.91	2458.51	2464.69	147239	0	0
2024.08.14	2465.27	2479.83	2438.10	2447.51	166955	0	0
2024.08.15	2447.61	2470.06	2432.22	2456.46	156325	0	0
2024.08.16	2456.26	2509.74	2450.80	2507.69	160955	0	0
2024.08.19	2507.58	2509.49	2485.64	2503.90	164380	0	0
2024.08.20	2502.66	2531.64	2497.34	2513.67	159154	0	0
2024.08.21	2512.48	2519.96	2494.50	2512.00	158825	0	0
2024.08.22	2511.74	2514.66	2470.86	2484.50	161271	0	0
2024.08.23	2482.67	2518.35	2482.37	2512.35	161095	0	0
2024.08.26	2508.58	2526.94	2508.58	2517.89	149696	0	0
2024.08.27	2517.18	2525.96	2503.53	2524.41	144559	0	0
2024.08.28	2524.07	2529.00	2493.62	2503.48	142752	0	0
2024.08.29	2504.66	2528.71	2503.62	2520.23	148251	0	0
2024.08.30	2520.60	2526.87	2494.12	2503.14	149575	0	0
2024.09.02	2502.45	2507.29	2490.06	2500.40	92546	0	0
2024.09.03	2498.58	2506.29	2473.51	2492.71	162771	0	0
2024.09.04	2492.38	2500.27	2471.88	2495.49	148157	0	0
2024.09.05	2495.05	2523.45	2493.11	2516.70	152577	0	0
2024.09.06	2516.42	2529.21	2485.14	2497.13	180774	0	0
2024.09.09	2496.18	2507.15	2485.55	2506.12	156260	0	0
2024.09.10	2504.13	2518.42	2500.13	2516.49	143793	0	0
2024.09.11	2515.99	2529.05	2500.92	2511.52	178341	0	0
2024.09.12	2511.01	2560.10	2510.95	2558.50	173467	0	0
2024.09.13	2557.91	2586.04	2556.73	2577.72	174619	0	0
2024.09.16	2577.78	2589.65	2575.26	2582.32	132974	0	0
2024.09.17	2581.78	2586.92	2560.76	2569.12	150554	0	0
2024.09.18	2568.03	2600.16	2546.82	2558.84	181609	0	0
2024.09.19	2558.57	2594.86	2551.05	2586.56	203741	0	0
2024.09.20	2586.17	2625.77	2584.83	2621.84	172592	0	0
2024.09.23	2620.58	2634.86	2613.89	2628.46	152502	0	0
2024.09.24	2627.89	2664.36	2622.66	2657.04	183452	0	0
2024.09.25	2656.93	2670.51	2649.76	2657.03	170405	0	0
2024.09.26	2656.45	2685.53	2654.82	2672.18	185245	0	0
2024.09.27	2670.96	2674.32	2643.15	2658.14	193373	0	0
2024.09.30	2657.61	2666.01	2624.71	2634.41	181673	0	0
2024.10.01	2633.97	2673.08	2631.88	2663.14	154657	0	0
2024.10.02	2661.53	2663.39	2641.17	2658.47	148070	0	0
2024.10.03	2657.88	2662.90	2638.00	2655.87	168023	0	0
2024.10.04	2655.01	2670.17	2632.00	2653.49	160935	0	0
2024.10.07	2649.68	2659.53	2637.81	2642.31	158895	0	0
2024.10.08	2642.16	2653.01	2604.75	2621.49	210329	0	0
2024.10.09	2620.89	2624.29	2605.18	2607.52	167667	0	0
2024.10.10	2606.77	2631.47	2602.55	2629.69	176250	0	0
2024.10.11	2626.69	2661.41	2626.69	2657.03	148623	0	0
