<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	00:00:00	2325.58	2338.54	2318.57	2331.54	120468	0	0
2024.07.02	00:00:00	2329.62	2336.77	2319.04	2329.21	112336	0	0
2024.07.03	00:00:00	2329.20	2364.97	2326.86	2355.62	122986	0	0
2024.07.04	00:00:00	2356.74	2362.48	2350.58	2357.42	63997	0	0
2024.07.05	00:00:00	2354.41	2392.90	2347.82	2391.09	135400	0	0
2024.07.08	00:00:00	2386.00	2391.09	2350.93	2358.80	121673	0	0
2024.07.09	00:00:00	2358.84	2371.55	2349.48	2363.67	122570	0	0
2024.07.10	00:00:00	2363.42	2386.69	2363.10	2370.91	106038	0	0
2024.07.11	00:00:00	2371.03	2424.56	2370.57	2414.91	139813	0	0
2024.07.12	00:00:00	2414.60	2418.28	2391.48	2410.90	130918	0	0
2024.07.15	00:00:00	2411.05	2439.64	2401.34	2422.04	138758	0	0
2024.07.16	00:00:00	2421.24	2469.69	2420.03	2468.54	141320	0	0
2024.07.17	00:00:00	2467.41	2483.68	2451.47	2458.68	173676	0	0
2024.07.18	00:00:00	2457.95	2474.92	2440.37	2445.14	155101	0	0
2024.07.19	00:00:00	2444.91	2445.74	2393.82	2400.85	163024	0	0
2024.07.22	00:00:00	2401.26	2412.16	2383.82	2396.46	142519	0	0
2024.07.23	00:00:00	2395.68	2412.05	2388.29	2409.17	142293	0	0
2024.07.24	00:00:00	2408.45	2432.02	2396.70	2397.19	152887	0	0
2024.07.25	00:00:00	2396.74	2401.20	2353.09	2364.27	210671	0	0
2024.07.26	00:00:00	2363.55	2390.80	2355.82	2386.95	158732	0	0
2024.07.29	00:00:00	2385.25	2403.17	2369.66	2383.85	158949	0	0
2024.07.30	00:00:00	2382.81	2412.86	2376.47	2410.61	154712	0	0
2024.07.31	00:00:00	2410.02	2450.96	2403.88	2447.27	186402	0	0
2024.08.01	00:00:00	2448.42	2462.30	2430.24	2446.19	208120	0	0
2024.08.02	00:00:00	2445.40	2477.73	2410.78	2442.43	224142	0	0
2024.08.05	00:00:00	2445.09	2458.12	2364.19	2410.14	283889	0	0
2024.08.06	00:00:00	2408.42	2418.35	2381.60	2390.43	227332	0	0
2024.08.07	00:00:00	2390.08	2407.02	2379.07	2382.63	189312	0	0
2024.08.08	00:00:00	2381.43	2427.57	2379.60	2427.06	193814	0	0
2024.08.09	00:00:00	2426.96	2437.05	2416.89	2430.99	155611	0	0
2024.08.12	00:00:00	2430.54	2473.12	2423.86	2472.77	137047	0	0
2024.08.13	00:00:00	2468.95	2476.91	2458.51	2464.69	147239	0	0
2024.08.14	00:00:00	2465.27	2479.83	2438.10	2447.51	166955	0	0
2024.08.15	00:00:00	2447.61	2470.06	2432.22	2456.46	156325	0	0
2024.08.16	00:00:00	2456.26	2509.74	2450.80	2507.69	160955	0	0
2024.08.19	00:00:00	2507.58	2509.49	2485.64	2503.90	164380	0	0
2024.08.20	00:00:00	2502.66	2531.64	2497.34	2513.67	159154	0	0
2024.08.21	00:00:00	2512.48	2519.96	2494.50	2512.00	158825	0	0
2024.08.22	00:00:00	2511.74	2514.66	2470.86	2484.50	161271	0	0
2024.08.23	00:00:00	2482.67	2518.35	2482.37	2512.35	161095	0	0
2024.08.26	00:00:00	2508.58	2526.94	2508.58	2517.89	149696	0	0
2024.08.27	00:00:00	2517.18	2525.96	2503.53	2524.41	144559	0	0
2024.08.28	00:00:00	2524.07	2529.00	2493.62	2503.48	142752	0	0
2024.08.29	00:00:00	2504.66	2528.71	2503.62	2520.23	148251	0	0
2024.08.30	00:00:00	2520.60	2526.87	2494.12	2503.14	149575	0	0
2024.09.02	00:00:00	2502.45	2507.29	2490.06	2500.40	92546	0	0
2024.09.03	00:00:00	2498.58	2506.29	2473.51	2492.71	162771	0	0
2024.09.04	00:00:00	2492.38	2500.27	2471.88	2495.49	148157	0	0
2024.09.05	00:00:00	2495.05	2523.45	2493.11	2516.70	152577	0	0
2024.09.06	00:00:00	2516.42	2529.21	2485.14	2497.13	180774	0	0
2024.09.09	00:00:00	2496.18	2507.15	2485.55	2506.12	156260	0	0
2024.09.10	00:00:00	2504.13	2518.42	2500.13	2516.49	143793	0	0
2024.09.11	00:00:00	2515.99	2529.05	2500.92	2511.52	178341	0	0
2024.09.12	00:00:00	2511.01	2560.10	2510.95	2558.50	173467	0	0
2024.09.13	00:00:00	2557.91	2586.04	2556.73	2577.72	174619	0	0
2024.09.16	00:00:00	2577.78	2589.65	2575.26	2582.32	132974	0	0
2024.09.17	00:00:00	2581.78	2586.92	2560.76	2569.12	150554	0	0
2024.09.18	00:00:00	2568.03	2600.16	2546.82	2558.84	181609	0	0
2024.09.19	00:00:00	2558.57	2594.86	2551.05	2586.56	191757	0	0
2024.09.19	20:00:00	2590.61	2590.82	2586.64	2588.22	5409	0	0
2024.09.19	22:00:00	2588.21	2589.76	2585.92	2586.56	6575	0	0
2024.09.20	00:00:00	2586.17	2587.88	2585.71	2587.78	1323	0	0
2024.09.20	02:00:00	2587.67	2588.52	2586.16	2588.07	5421	0	0
2024.09.20	04:00:00	2588.17	2592.52	2584.83	2591.60	15127	0	0
2024.09.20	06:00:00	2591.56	2594.36	2590.98	2593.72	10011	0	0
2024.09.20	08:00:00	2593.73	2606.98	2592.43	2605.47	15004	0	0
2024.09.20	10:00:00	2605.49	2612.76	2604.76	2609.81	18433	0	0
2024.09.20	12:00:00	2609.83	2614.21	2602.48	2613.23	12815	0	0
2024.09.20	14:00:00	2613.25	2619.36	2610.30	2615.62	17786	0	0
2024.09.20	16:00:00	2615.61	2617.15	2602.68	2614.03	30613	0	0
2024.09.20	18:00:00	2614.06	2625.77	2611.19	2624.91	24049	0	0
2024.09.20	20:00:00	2624.89	2625.41	2617.86	2621.70	14123	0	0
2024.09.20	22:00:00	2621.73	2623.40	2619.03	2621.84	7887	0	0
