variant,direction,rr,trades,winrate,avg_r,sum_r,pf,h1_avg_r,h2_avg_r,pos_datasets
06_ma200_bb,short,2.5,65,0.4461538461538462,0.5288847859680106,34.37751108792069,1.9549308635533522,0.3125,0.7387124572097178,5
06_ma200_bb,short,1.5,65,0.5384615384615384,0.3288847859680106,21.377511087920688,1.7125837029306896,0.09375,0.556894275391536,5
04b_avwap,long,2.5,35,0.37142857142857144,0.3,10.5,1.4772727272727273,-0.34375,0.8421052631578947,4
00_base_hid,long,2.5,310,0.3709677419354839,0.29833010372734503,92.48233215547697,1.4742254031527446,0.4090909090909091,0.18898930868895492,7
08_choch,long,2.5,122,0.3770491803278688,0.29168243595983895,35.58525718710035,1.472803269903664,0.378566079747972,0.1989083756436968,6
06_ma200_bb,long,2.5,202,0.36633663366336633,0.28217821782178215,57.0,1.4453125,0.28217821782178215,0.28217821782178215,6
00_base_hid,short,2.5,147,0.3673469387755102,0.2594307078324964,38.13631405137697,1.4025314777970026,0.037893057714607964,0.5717624768511588,8
07_bos,long,2.5,663,0.3514328808446455,0.1740974752127163,115.42662606603089,1.2669365942206763,0.14633702355967,0.20144235124221402,7
08_choch,long,1.5,122,0.4672131147540984,0.14901240795402373,18.179513770390894,1.2789546130945835,0.11666131784321013,0.18355679230963823,6
06_ma200,short,2.5,793,0.3266078184110971,0.13760098287752495,109.11757942187728,1.2034788970394874,0.11592072165842607,0.15734830514455958,7
07_retest,long,2.5,594,0.3333333333333333,0.12810213722223,76.09266951000461,1.1892346364090325,0.06215962555464094,0.19360208169741916,8
06_ma200,long,2.5,1428,0.32072829131652664,0.12041523941466828,171.9529618841463,1.177107345929254,0.08436784829293531,0.15636179867312366,8
05_triple_hid,long,2.5,1365,0.31794871794871793,0.1086089486708535,148.251214935715,1.158408922316564,0.055775400956227426,0.16341389741960743,9
07_bos,long,1.5,728,0.4423076923076923,0.09955214769356155,72.4739635209128,1.1782667741096704,0.07052700726392572,0.12889800790695027,8
10_wave5,long,2.5,478,0.32217573221757323,0.09774947003301272,46.72424667578008,1.1381247287652843,0.11457345027488398,0.08147936568387794,7
12_obv_bb,long,2.5,1142,0.3134851138353765,0.0866703133491088,98.97749784468225,1.1243400752826582,0.20216320962622875,-0.024456872072174982,6
00_base_hid,short,1.5,147,0.4421768707482993,0.08596132007739436,12.63631405137697,1.1508972226162781,-0.148153453913299,0.41602477193312604,5
12_obv,long,2.5,1652,0.3141646489104116,0.08544148071984425,141.1493261491827,1.1223006163413372,0.11582108804255475,0.056498261450217004,5
00_base_hid,long,1.5,311,0.43086816720257237,0.07711360821696774,23.982332155476968,1.1354798786330242,0.1774193548387097,-0.022549152849506624,6
07_retest,long,1.5,637,0.4317111459968603,0.07156633624708646,45.58775618939407,1.12518250565613,0.030909186524938393,0.11184232519058934,7
04b_avwap,long,1.5,35,0.42857142857142855,0.07142857142857142,2.5,1.125,-0.375,0.4473684210526316,4
06_ma200,short,1.5,819,0.4261294261294261,0.05939662204968987,48.645833458696,1.1026864694844614,0.03789778206364465,0.0790369174575022,4
04b_avwap,short,1.5,26,0.4230769230769231,0.057692307692307696,1.5,1.1,-0.7222222222222222,0.47058823529411764,3
10_wave5,long,1.5,483,0.42028985507246375,0.0500585618678552,24.17828538217406,1.0862519174268654,0.08429898032504547,0.017613004055598295,5
05_triple_hid,short,2.5,1035,0.30144927536231886,0.047568543148801344,49.23344215900939,1.0675685760145983,0.059119640160267,0.03702096103481976,5
06_ma200_bb,long,1.5,202,0.4158415841584158,0.039603960396039604,8.0,1.0677966101694916,0.06435643564356436,0.01485148514851485,5
00_base_div,long,2.5,688,0.29941860465116277,0.03856985131091099,26.53605770190676,1.0543255200722936,0.08527004891103734,-0.008130346289215362,6
05_triple_hid,long,1.5,1400,0.40785714285714286,0.016894225047461343,23.65191506644588,1.0283988346666282,0.017313366364193138,0.016462934707056162,5
06_ma200,long,1.5,1471,0.4065261726716519,0.01579971297264702,23.241377782763767,1.0265993115167058,0.010645478304067113,0.02090512539132157,6
10_wave5,short,2.5,851,0.29142185663924797,0.010096560387227003,8.592172889530179,1.0140530959999923,-0.05590899266228791,0.0804277200686276,5
12_obv,long,1.5,1695,0.40471976401179943,0.008668569208698915,14.69322480874466,1.0144859771896664,0.0023700145565072658,0.014683797873075713,6
05_triple_reg,long,2.5,410,0.29024390243902437,0.0006603110078719999,0.27072751322752,1.000910837317477,-0.005954608033689571,0.006718834989862975,4
00_base_div,long,1.5,697,0.3988522238163558,-0.005435521091905643,-3.7885582010582333,0.9909965275261882,0.015197726544988735,-0.02589191232048378,4
07_retest,short,1.5,858,0.40093240093240096,-0.006436824086791677,-5.522795066467259,0.9893555035112487,-0.12488627019900853,0.11824680339975237,6
05_triple_hid,short,1.5,1071,0.39869281045751637,-0.006461964802081389,-6.920764303029167,0.9892916868781017,0.0033499061673318326,-0.015348516979005463,3
12_obv_bb,long,1.5,1160,0.39741379310344827,-0.01024247735412573,-11.881273730785846,0.9831083451116538,0.037919635160074135,-0.056932742626805054,4
05_triple_reg,short,2.5,546,0.2802197802197802,-0.027027302884112207,-14.756907374725264,0.962852987321866,-0.08766539775827042,0.030578887246338116,4
02_fib_deep,long,2.5,249,0.28112449799196787,-0.03480764327149862,-8.667103174603156,0.9528108026707224,-0.193059193121693,0.1124031007751938,5
07_bos,short,1.5,981,0.3893985728848114,-0.036311191475386556,-35.62127883735421,0.9407982065453817,-0.1276444278034921,0.056334842910823205,4
07_retest,short,2.5,818,0.27995110024449876,-0.0377831183805919,-30.906590835324177,0.9479183931628764,-0.11261146397532028,0.040796021479536385,4
05_triple_reg,long,1.5,415,0.38313253012048193,-0.046478453496525865,-19.288558201058233,0.9251768257844307,-0.1255146644106036,0.024944177467113197,4
07_bos,short,2.5,916,0.2838427947598253,-0.04684431898357886,-42.90939618895823,0.9347856384295876,-0.07873870437942629,-0.013526077096845382,3
04b_avwap,short,2.5,26,0.2692307692307692,-0.057692307692307696,-1.5,0.9210526315789473,-0.6111111111111112,0.23529411764705882,3
04a_hvn,long,2.5,168,0.26785714285714285,-0.0625,-10.5,0.9146341463414634,0.041666666666666664,-0.16666666666666666,5
11_mtf,short,1.5,227,0.3744493392070485,-0.06387665198237885,-14.5,0.897887323943662,-0.021739130434782608,-0.10714285714285714,4
10_wave5,short,1.5,860,0.3767441860465116,-0.0662198316054015,-56.949055180645296,0.8951116046022075,-0.10370281031248738,-0.026213960100723323,3
08_choch,short,2.5,280,0.26785714285714285,-0.07220542985275687,-20.21752035877192,0.9015943912099716,-0.09686514120673122,-0.047190902508077864,4
08_choch,short,1.5,284,0.3732394366197183,-0.07294901534778846,-20.71752035877192,0.8839035219960605,-0.07054156187603544,-0.07542525320444873,2
12_obv_bb,short,1.5,931,0.3673469387755102,-0.08420502644356377,-78.39487961895787,0.8674407196939741,-0.1437352821230058,-0.028988557407559595,3
05_triple_reg,short,1.5,550,0.36727272727272725,-0.08603453782490897,-47.318995803699934,0.8649259778358838,-0.16598874832846416,-0.01060070671378092,2
12_obv_bb,short,2.5,926,0.26241900647948163,-0.08656138130625785,-80.15583908959476,0.8830515933615422,-0.1496496787273078,-0.027687750936300996,4
02_fib_deep,short,2.5,228,0.2631578947368421,-0.08675604014418745,-19.78037715287474,0.8834943267026438,-0.1815756669159799,-0.005812456314608519,2
12_obv,short,1.5,1722,0.3670150987224158,-0.08959853395597397,-154.28867547218718,0.8600287938129322,-0.12596991071949604,-0.05862420019607134,3
12_obv,short,2.5,1694,0.2615112160566706,-0.09751568933676434,-165.1915777364788,0.8699719800818655,-0.15153406593800997,-0.05097678026492198,2
00_base_div,short,2.5,612,0.2581699346405229,-0.10142745464094431,-62.07360224025792,0.8641934210682565,-0.18052749285331837,-0.02386333950065518,5
11_mtf,long,1.5,92,0.358695652173913,-0.10326086956521739,-9.5,0.8389830508474576,-0.08536585365853659,-0.11764705882352941,1
11_mtf,short,2.5,225,0.2577777777777778,-0.10426120857699787,-23.458771929824522,0.8607447290450577,0.16666666666666666,-0.38251145882724796,3
02_fib_deep,long,1.5,252,0.35714285714285715,-0.10804122574955917,-27.22638888888891,0.8321704065820227,-0.2310532407407409,0.003787878787878788,4
11_mtf,long,2.5,92,0.2717391304347826,-0.11872724757450555,-10.92290677685451,0.8512329835966423,-0.22493640580577687,-0.033343414486620794,2
