family,symbol,tf,direction,p1,p2,p3,p4,p5,trades,winrate,avg_r,sum_r,pf,net05,risk_pct,h1,h2,q_pos
A.ORB,US100,M5,long,NY,or30,buf0.0,opp,1.5R,260,0.5115384615384615,0.06423258991035627,16.70047337669263,1.1727554464370242,-0.03574625591099938,0.006223791005972868,0.06486200276125034,0.06358350790787179,4
A.ORB,US100,M5,short,NY,or30,buf0.0,opp,1.5R,236,0.4491525423728814,0.025603781516688864,6.042492437938572,1.0587631553639165,-0.07106141533653446,0.006479179872812882,0.016914879775031245,0.03444121149324662,2
A.ORB,US100,M5,long,NY,or30,buf0.0,opp,2.5R,260,0.5,0.019084589358727335,4.961993233269107,1.0497836293694698,-0.08089425646262834,0.006223791005972868,0.01796225226764541,0.02024199948390556,2
A.ORB,US100,M5,short,NY,or30,buf0.0,opp,2.5R,236,0.4322033898305085,0.04283241271706652,10.108449401227698,1.0968106362723826,-0.0538327841361568,0.006479179872812882,0.062481109463045185,0.022847840813036917,3
A.ORB,US100,M5,long,NY,or30,buf0.0,opp,3.5R,260,0.5,0.028774634081398614,7.4814048611636395,1.0750608614848387,-0.07120421173995706,0.006223791005972868,0.02756083102256148,0.030026368485824403,3
A.ORB,US100,M5,short,NY,or30,buf0.0,opp,3.5R,236,0.4194915254237288,0.02561270974088449,6.04459949884874,1.0564507243741108,-0.07105248711233884,0.006479179872812882,0.05064735234753246,0.00015012452557586754,3
A.ORB,US100,M5,long,NY,or30,buf0.0,opp,eod,260,0.5,0.0346904604319915,9.01951971231779,1.0904927526781056,-0.06528838538936418,0.006223791005972868,0.04026404714811839,0.028942699130985624,3
A.ORB,US100,M5,short,NY,or30,buf0.0,opp,eod,236,0.4194915254237288,0.06208190829540026,14.65133035771446,1.136829282385857,-0.03458328855782307,0.006479179872812882,0.033795471801973086,0.09085187361777487,2
A.ORB,US100,M5,long,NY,or30,buf0.0,half,1.5R,260,0.4153846153846154,-0.028982950733235476,-7.535567190641224,0.9488117623382927,-0.22887836534353853,0.003112255081114508,-0.034148254179288406,-0.02365623155449339,1
A.ORB,US100,M5,short,NY,or30,buf0.0,half,1.5R,236,0.3432203389830508,-0.18800532697434022,-44.36925716594429,0.7193735723583446,-0.38121975270847364,0.0032429278970379553,-0.13380328984972503,-0.2431338946480941,0
A.ORB,US100,M5,long,NY,or30,buf0.0,half,2.5R,260,0.36153846153846153,-0.0068468635361126524,-1.7801845193892896,0.9887681959741748,-0.2067422781464157,0.003112255081114508,-0.016184627381221436,0.0027827054291557976,1
A.ORB,US100,M5,short,NY,or30,buf0.0,half,2.5R,236,0.2627118644067797,-0.2534200181915728,-59.80712429321118,0.6623125118749962,-0.4466344439257063,0.0032429278970379553,-0.25787672097192804,-0.24888713245770716,0
A.ORB,US100,M5,long,NY,or30,buf0.0,half,3.5R,260,0.34615384615384615,-0.05751129506770686,-14.952936717603784,0.9067530511248779,-0.25740670967800994,0.003112255081114508,-0.07295521594322188,-0.04158475166483199,1
A.ORB,US100,M5,short,NY,or30,buf0.0,half,3.5R,236,0.2542372881355932,-0.22262563595767715,-52.539650086011804,0.7066592373197409,-0.4158400616918106,0.0032429278970379553,-0.21790166560610016,-0.22743035793919558,0
A.ORB,US100,M5,long,NY,or30,buf0.0,half,eod,260,0.3423076923076923,-0.06712194228762695,-17.451704994783007,0.891845116376074,-0.26701735689793,0.003112255081114508,-0.11030751459570429,-0.022586820844922174,1
A.ORB,US100,M5,short,NY,or30,buf0.0,half,eod,236,0.2457627118644068,-0.1906676321417231,-44.997561185446656,0.7517944317584687,-0.38388205787585655,0.0032429278970379553,-0.12153932373235805,-0.26097762103671834,1
A.ORB,US100,M5,long,NY,or30,buf0.1,opp,1.5R,258,0.5116279069767442,0.03259881931601873,8.410495383532833,1.0872504604681767,-0.06420495303714223,0.006388691722748641,0.03930411497253723,0.0255742238663327,3
A.ORB,US100,M5,short,NY,or30,buf0.1,opp,1.5R,231,0.45021645021645024,0.03500492925032809,8.086138656825788,1.0817288551442072,-0.05989494859487039,0.006591513612258279,0.03550767591274898,0.03449781087779919,3
A.ORB,US100,M5,long,NY,or30,buf0.1,opp,2.5R,258,0.5038759689922481,0.0038114532417581645,0.9833549363736065,1.0099939671444689,-0.09299231911140281,0.006388691722748641,-0.005405684395770785,0.01346750219535991,3
A.ORB,US100,M5,short,NY,or30,buf0.1,opp,2.5R,231,0.4329004329004329,0.04728221070689341,10.922190673292377,1.1085848168369468,-0.047617667138305085,0.006591513612258279,0.07497100130058847,0.01935264802107925,3
A.ORB,US100,M5,long,NY,or30,buf0.1,opp,3.5R,258,0.5038759689922481,0.011735739116972694,3.027820692178955,1.030772144825521,-0.08506803323618828,0.006388691722748641,0.003520198924101766,0.02034249550950414,3
A.ORB,US100,M5,short,NY,or30,buf0.1,opp,3.5R,231,0.4199134199134199,0.010921492869520226,2.5228648528591724,1.0244320419612216,-0.08397838497567826,0.006591513612258279,0.03427927489323969,-0.012639400302231563,3
A.ORB,US100,M5,long,NY,or30,buf0.1,opp,eod,258,0.5038759689922481,0.01754375020902862,4.526287553929384,1.0460012630507631,-0.07926002214413236,0.006388691722748641,0.014872220604029249,0.02034249550950414,3
A.ORB,US100,M5,short,NY,or30,buf0.1,opp,eod,231,0.4199134199134199,0.05687886217504966,13.13901716243647,1.1272414645112894,-0.03802101567014882,0.006591513612258279,0.034973971606876805,0.078974230052511,2
A.ORB,US100,M5,long,NY,or30,buf0.1,half,1.5R,258,0.42248062015503873,-0.023479805308657727,-6.057789769633693,0.9580034223858083,-0.21223425621056705,0.0032693335266713074,-0.023420146941135544,-0.023542304550823814,1
A.ORB,US100,M5,short,NY,or30,buf0.1,half,1.5R,231,0.3463203463203463,-0.1746503911841909,-40.344240363548096,0.7353884406152783,-0.3597386787728029,0.0033726613202699476,-0.1093184602751402,-0.2405504258402768,1
A.ORB,US100,M5,long,NY,or30,buf0.1,half,2.5R,258,0.37209302325581395,-0.021257104737807182,-5.484333022354253,0.9644073709200229,-0.21001155563971646,0.0032693335266713074,-0.014327891958605642,-0.028516280030304014,2
A.ORB,US100,M5,short,NY,or30,buf0.1,half,2.5R,231,0.2813852813852814,-0.19217407202119158,-44.39221063689526,0.7349179156837357,-0.3772623596098036,0.0033726613202699476,-0.1668678901638123,-0.21770030763385242,0
A.ORB,US100,M5,long,NY,or30,buf0.1,half,3.5R,258,0.3488372093023256,-0.10824703920408921,-27.927736114655016,0.8239509144747206,-0.2970014901059985,0.0032693335266713074,-0.1322055707312697,-0.0831476252232334,0
A.ORB,US100,M5,short,NY,or30,buf0.1,half,3.5R,231,0.2683982683982684,-0.175567765559292,-40.55615384419645,0.7607149277441819,-0.36065605314790394,0.0033726613202699476,-0.12011555340669146,-0.23150217086104563,0
A.ORB,US100,M5,long,NY,or30,buf0.1,half,eod,258,0.3488372093023256,-0.0975959967660057,-25.179767165629467,0.8412733862476456,-0.286350447667915,0.0032693335266713074,-0.14146643398431283,-0.05163649110873153,0
A.ORB,US100,M5,short,NY,or30,buf0.1,half,eod,231,0.2597402597402597,-0.1670875739275885,-38.59722957727294,0.7751541773206955,-0.35217586151620045,0.0033726613202699476,-0.06758246714885152,-0.2674579425044014,1
A.ORB,US100,M5,long,NY,or60,buf0.0,opp,1.5R,231,0.5238095238095238,0.017513406018767302,4.045596790335247,1.063086714919876,-0.06221143017235377,0.007836792201535468,-0.009740253720219782,0.046976821952807425,2
A.ORB,US100,M5,short,NY,or60,buf0.0,opp,1.5R,199,0.45226130653266333,0.05141251548189131,10.231090580896371,1.152692897735345,-0.027646112004723177,0.008364753124377011,0.032883888346921034,0.07050834548834028,4
A.ORB,US100,M5,long,NY,or60,buf0.0,opp,2.5R,231,0.5238095238095238,0.019374127807444866,4.475423523519764,1.0697893988467895,-0.060350708383676226,0.007836792201535468,-0.0047445403178542475,0.04544836361857904,3
A.ORB,US100,M5,short,NY,or60,buf0.0,opp,2.5R,199,0.4321608040201005,-0.015669330845232497,-3.118196838201267,0.9554166342357419,-0.094727958331847,0.008364753124377011,-0.05636718378189429,0.02627437473234749,2
A.ORB,US100,M5,long,NY,or60,buf0.0,opp,3.5R,231,0.5238095238095238,0.02392934183273437,5.52767796336164,1.0861981709785216,-0.05579549435838672,0.007836792201535468,0.004024246680828055,0.04544836361857904,3
