direction,zone,trigger,rr,rsi,k,trades,winrate,avg_r,sum_r,pf,h1_avg_r,h2_avg_r,pos_datasets,n_datasets
long,SR+FIB,macd,2.5,14,5,60,0.38333333333333336,0.3416666666666667,20.5,1.554054054054054,0.4,0.2833333333333333,7,9
long,SR+BB+FIB,macd,2.5,14,5,50,0.38000000000000006,0.33,16.5,1.532258064516129,0.34615384615384615,0.3125,6,9
long,SR+FIB,candle+macd,2.5,14,5,118,0.36440677966101687,0.2754237288135593,32.5,1.4333333333333333,0.26229508196721313,0.2894736842105263,7,10
long,FIB,macd,2.5,14,5,69,0.36231884057971014,0.26811594202898553,18.5,1.4204545454545454,0.3382352941176471,0.2,7,9
long,FIB,candle+macd,2.5,14,5,137,0.35766423357664234,0.2518248175182482,34.5,1.3920454545454546,0.2323943661971831,0.2727272727272727,7,10
long,SR+FIB,candle+macd,2.5,9,5,137,0.3576642335766423,0.2518248175182482,34.5,1.3920454545454546,0.23846153846153847,0.2638888888888889,8,10
long,BB+FIB,macd,2.5,14,5,56,0.3571428571428571,0.25,14.0,1.3888888888888888,0.25,0.25,6,9
long,SR+BB+FIB,candle+macd,2.5,14,5,93,0.3548387096774194,0.24193548387096775,22.5,1.375,0.09803921568627451,0.4166666666666667,8,10
long,BB+FIB,candle+macd,2.5,14,5,108,0.35185185185185186,0.23148148148148148,25.0,1.3571428571428572,0.08620689655172414,0.4,9,10
long,FIB,candle+macd,2.5,9,5,162,0.35185185185185186,0.23148148148148148,37.5,1.3571428571428572,0.22727272727272727,0.23529411764705882,7,10
long,SR+FIB,macd,2.5,9,5,75,0.3466666666666666,0.21333333333333335,16.0,1.3265306122448979,0.2727272727272727,0.16666666666666666,6,10
long,SR+BB+FIB,candle+macd,2.5,9,5,107,0.3457943925233644,0.2102803738317757,22.5,1.3214285714285714,0.05660377358490566,0.3611111111111111,8,10
long,BB+FIB,candle+macd,2.5,14,3,151,0.34437086092715236,0.2037987490802059,30.77361111111109,1.3101353526587627,0.13207582582582555,0.2727272727272727,6,10
long,BB+FIB,candle+macd,2.5,9,5,127,0.3385826771653543,0.18503937007874016,23.5,1.2797619047619047,0.016129032258064516,0.34615384615384615,8,10
long,SR+BB+FIB,macd,2.5,9,5,65,0.3384615384615385,0.18461538461538463,12.0,1.2790697674418605,0.20689655172413793,0.16666666666666666,7,10
long,BB+FIB,candle+macd,2.5,9,3,184,0.33695652173913043,0.17811745169082116,32.773611111111094,1.2681385861845618,0.09857990012484372,0.25263157894736843,7,10
long,FIB,candle+macd,2.5,14,3,222,0.33333333333333337,0.16564689689689682,36.773611111111094,1.2480908520187775,0.08966615698267055,0.23893805309734514,6,10
long,SR,macd,2.5,14,5,216,0.3333333333333333,0.16291992500022717,35.19070380004907,1.2430141208024252,0.243593709719,0.1052957930582466,7,10
long,FIB,candle,2.5,9,3,328,0.3323170731707318,0.16241954607046066,53.273611111111094,1.2430072920560304,0.06862172682236363,0.24853801169590642,8,10
long,FIB,macd,2.5,9,5,88,0.3295454545454545,0.1534090909090909,13.5,1.228813559322034,0.19736842105263158,0.12,5,10
long,FIB,candle+macd,2.5,9,3,264,0.3295454545454545,0.15255155723905717,40.273611111111094,1.22724387357664,0.12813867016622907,0.17518248175182483,6,10
long,SR+FIB,candle,2.5,9,3,298,0.325503355704698,0.1385020507084265,41.273611111111094,1.2051103304045332,0.008969092331768245,0.2564102564102564,6,10
long,SR+BB,macd,2.5,14,5,190,0.3263157894736842,0.13784580947394248,26.19070380004907,1.2033292982161254,0.1941882179842683,0.09506731412350991,6,10
long,BB+FIB,candle,2.5,9,3,231,0.3246753246753247,0.1353835978835978,31.27361111111109,1.200181360738956,-0.033271329365079545,0.29411764705882354,6,10
long,BB+FIB,macd,2.5,9,5,74,0.32432432432432434,0.13513513513513514,10.0,1.2,0.09375,0.16666666666666666,6,10
long,SR+BB+FIB,candle+macd,2.5,14,3,133,0.3233082706766917,0.12987677527151195,17.27361111111109,1.191447439311608,-0.03425213675213706,0.2867647058823529,6,10
long,SR,candle,2.5,9,3,1080,0.32407407407407407,0.12827412750176553,138.53605770190677,1.1881097630789812,0.15353263944727363,0.1036620856974587,8,10
long,SR,candle+macd,2.5,14,3,790,0.3227848101265823,0.12738591857424275,100.63487567365178,1.1874490837897642,0.1341511014500522,0.12030526084930226,9,10
long,SR+BB+FIB,candle+macd,2.5,9,3,162,0.3209876543209877,0.12205932784636475,19.77361111111109,1.179390900041581,0.010179093567251184,0.22093023255813954,6,10
long,SR,macd,2.5,9,5,274,0.3211678832116788,0.12113395547463164,33.19070380004907,1.1776715852755177,0.12542116412791304,0.11803314418452246,6,10
long,SR+FIB,candle+macd,2.5,14,3,202,0.3168316831683169,0.10779015401540144,21.77361111111109,1.157521376968138,-0.022263888888889093,0.23529411764705882,6,10
long,SR+BB+FIB,candle,2.5,9,3,206,0.31553398058252424,0.10326995685005384,21.27361111111109,1.1506348160459468,-0.1094529478458052,0.2962962962962963,6,10
long,SR+FIB,candle+macd,2.5,9,3,238,0.31512605042016806,0.10198996265172727,24.27361111111109,1.1487113160828093,0.07257553606237799,0.12903225806451613,6,10
short,SR+FIB,candle+macd,1.5,14,5,66,0.43939393939393945,0.09848484848484848,6.5,1.1756756756756757,-0.20454545454545456,0.25,5,10
long,SR,candle,2.5,14,3,949,0.315068493150685,0.095928406429828,91.03605770190677,1.138676402215201,0.10784222022142194,0.08393902933723026,7,10
short,SR+FIB,candle+macd,1.5,9,5,96,0.4375,0.09375,9.0,1.1666666666666667,-0.07142857142857142,0.1885245901639344,5,10
long,SR,candle+macd,2.5,9,3,882,0.31292517006802717,0.09312344180686141,82.13487567365176,1.1351202304370986,0.09797543718793968,0.08816016212805201,6,10
long,SR+BB,macd,2.5,9,5,243,0.3127572016460905,0.09131976872448178,22.19070380004907,1.1322376310643005,0.0992707988067619,0.08527007192274688,6,10
long,SR+BB+FIB,macd,2.5,9,3,122,0.31147540983606553,0.09016393442622951,11.0,1.130952380952381,0.06521739130434782,0.10526315789473684,6,10
long,FIB,candle,1.5,9,3,328,0.4359756097560975,0.08924881436314357,29.27361111111109,1.1580423355803333,0.0017427459306438848,0.1695906432748538,7,10
long,BB,candle,2.5,9,3,1048,0.3120229007633588,0.08285834309455067,86.8355435630891,1.1188446253243836,0.11795804537852256,0.05046357199576561,8,10
long,SR+BB,macd,2.5,14,3,327,0.308868501529052,0.08216325566677611,26.867384603035788,1.1190758018550064,0.10041467213045188,0.06688538458201378,7,10
long,SR,macd,2.5,14,3,476,0.30882352941176466,0.08165416933410878,38.86738460303578,1.1182700157623942,0.07816491312183102,0.08457760021466583,5,10
long,SR+FIB,candle,1.5,9,3,298,0.4328859060402685,0.08145507084265467,24.27361111111109,1.1434386874912796,-0.015678794992175418,0.16987179487179488,7,10
long,BB+FIB,candle+macd,1.5,14,3,151,0.4304635761589404,0.07465967623252379,11.27361111111109,1.1307443261440329,0.010454204204203918,0.13636363636363635,6,10
long,BB,candle+macd,2.5,14,3,751,0.3075898801597869,0.07408105948555495,55.63487567365176,1.1066077671802044,0.10346803472144678,0.04492793285896731,7,10
long,SR+BB+FIB,macd,2.5,14,3,88,0.3068181818181818,0.07386363636363637,6.5,1.1065573770491803,-0.015625,0.125,6,10
long,BB+FIB,macd,2.5,9,3,137,0.3065693430656934,0.072992700729927,10.0,1.105263157894737,0.0625,0.08024691358024691,7,10
long,SR+FIB,candle,2.5,9,5,160,0.30624999999999997,0.071875,11.5,1.1036036036036037,0.06944444444444445,0.07386363636363637,7,10
long,SR+BB,candle,2.5,9,3,745,0.3087248322147651,0.07186048013678759,53.536057701906756,1.1026649272545541,0.10410964296353041,0.03952462601212343,6,10
long,BB+FIB,candle,1.5,9,3,231,0.4285714285714286,0.07044853294853286,16.27361111111109,1.1230738527147253,-0.04219990079365098,0.17647058823529413,7,10
long,BB,candle+macd,2.5,9,3,866,0.30600461893764425,0.06886244304116831,59.63487567365176,1.0989191002552832,0.03450010560051899,0.10213143338143335,7,10
long,SR,candle+macd,2.5,9,5,551,0.3067150635208711,0.06755523780813302,37.2229360322813,1.0966134232049694,0.038181076464139194,0.09640108689773846,6,10
