detector,direction,zone,trigger,rr,trades,winrate,avg_r,sum_r,pf,h1_avg_r,h2_avg_r,pos_datasets
hidden,long,BB,candle,2.5,310,0.3709677419354839,0.29833010372734503,92.48233215547697,1.4742254031527446,0.4090909090909091,0.18898930868895492,7
hidden,long,SR+BB,candle,2.5,289,0.3633217993079585,0.2715651631677404,78.48233215547697,1.4264934616049307,0.3900709219858156,0.15866440645592544,7
hidden,short,BB,candle,2.5,147,0.3673469387755102,0.2594307078324964,38.13631405137697,1.4025314777970026,0.037893057714607964,0.5717624768511588,8
hidden,short,SR+BB,candle,2.5,138,0.35507246376811596,0.21475589892302152,29.63631405137697,1.3266026349579858,-0.015514962956796436,0.5323708808262188,6
exhaust,long,BB,candle,2.5,427,0.34894613583138173,0.20674543028350328,88.28029873105591,1.3140364918140148,0.3145539906103286,0.09944064827596219,8
exhaust,long,BB,self,2.5,427,0.34894613583138173,0.20674543028350328,88.28029873105591,1.3140364918140148,0.3145539906103286,0.09944064827596219,8
exhaust,long,SR+BB,self,2.5,310,0.33548387096774196,0.1693729242920068,52.50560653052211,1.254113963814494,0.29194630872483224,0.05593544428895717,8
exhaust,long,SR+BB,candle,2.5,310,0.33548387096774196,0.1693729242920068,52.50560653052211,1.254113963814494,0.29194630872483224,0.05593544428895717,8
hidden,long,SR,candle,2.5,1685,0.3335311572700297,0.16259931342798775,273.9798431261594,1.2424282772291406,0.188172464285481,0.13711706239581745,9
exhaust,long,none,candle,2.5,1194,0.330820770519263,0.14179198375551097,169.2996286040801,1.2077052803564021,0.20704277192460802,0.0698782629916822,9
exhaust,long,none,self,2.5,1194,0.330820770519263,0.14179198375551097,169.2996286040801,1.2077052803564021,0.20704277192460802,0.0698782629916822,9
hidden,long,none,candle,2.5,1987,0.3220936084549572,0.1231814941320811,244.76162884044516,1.180720412582746,0.1214792659763042,0.12489575824451503,8
exhaust,long,BB,candle,1.5,439,0.4510250569476082,0.12188496954621685,53.50750163078919,1.2197501031413915,0.22119815668202766,0.024808565904455824,8
