symbol,tf,direction,detector,zone,trigger,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M15,long,div,none,self,1.5,435,0.3563218390804598,-0.10963158534164211,-47.689739623614315,0.8297948394267504,232.5,280.1897396236143,-21.189739623614315,-26.5,221,214
US100,M15,long,div,none,self,2.5,430,0.2558139534883721,-0.10509241772933561,-45.189739623614315,0.858865747301162,275.0,320.1897396236143,-21.189739623614315,-24.0,217,213
US100,M15,long,div,none,candle,1.5,398,0.4020100502512563,0.0006233443824531722,0.2480910642163625,1.0010347824353834,240.0,239.75190893578363,-10.189739623614313,10.437830687830676,205,193
US100,M15,long,div,none,candle,2.5,382,0.306282722513089,0.06740337974925749,25.74809106421636,1.0965244866173192,292.5,266.7519089357836,-1.6897396236143134,27.437830687830676,194,188
US100,M15,long,div,SR,self,1.5,334,0.3502994011976048,-0.12425149700598802,-41.5,0.8087557603686636,175.5,217.0,-32.0,-9.5,167,167
US100,M15,long,div,SR,self,2.5,332,0.25903614457831325,-0.09337349397590361,-31.0,0.8739837398373984,215.0,246.0,-29.5,-1.5,166,166
US100,M15,long,div,SR,candle,1.5,310,0.3903225806451613,-0.02923280423280427,-9.062169312169324,0.9524450768750217,181.5,190.56216931216932,-13.5,4.437830687830676,156,154
US100,M15,long,div,SR,candle,2.5,305,0.3016393442622951,0.050615838320756314,15.437830687830676,1.0719503849971332,230.0,214.56216931216932,0.0,15.437830687830676,154,151
US100,M15,long,div,BB,self,1.5,289,0.3737024221453287,-0.0657439446366782,-19.0,0.8950276243093923,162.0,181.0,-14.5,-4.5,147,142
US100,M15,long,div,BB,self,2.5,286,0.26223776223776224,-0.08216783216783216,-23.5,0.8886255924170616,187.5,211.0,-19.0,-4.5,145,141
US100,M15,long,div,BB,candle,1.5,266,0.40977443609022557,0.01856327326252134,4.937830687830676,1.0311412911998532,163.5,158.56216931216932,-5.0,9.937830687830676,140,126
US100,M15,long,div,BB,candle,2.5,257,0.311284046692607,0.08341568361023609,21.437830687830676,1.1200580770854784,200.0,178.56216931216932,0.0,21.437830687830676,133,124
US100,M15,long,div,SR+BB,self,1.5,212,0.37735849056603776,-0.05660377358490566,-12.0,0.9090909090909091,120.0,132.0,-18.5,6.5,106,106
US100,M15,long,div,SR+BB,self,2.5,210,0.2761904761904762,-0.03333333333333333,-7.0,0.9539473684210527,145.0,152.0,-17.5,10.5,105,105
US100,M15,long,div,SR+BB,candle,1.5,199,0.4020100502512563,-0.0028249714179362975,-0.5621693121693232,0.9953371002249163,120.0,120.56216931216932,-4.5,3.937830687830677,102,97
US100,M15,long,div,SR+BB,candle,2.5,195,0.3076923076923077,0.06891195224528551,13.437830687830676,1.0984008291279628,150.0,136.56216931216932,1.5,11.937830687830676,100,95
US100,M15,long,hidden,none,self,1.5,604,0.3443708609271523,-0.14631961784822445,-88.37704918032757,0.7792654465053439,312.0,400.37704918032756,-67.0,-21.377049180327578,307,297
US100,M15,long,hidden,none,self,2.5,591,0.27918781725888325,-0.030248814179911293,-17.877049180327575,0.9584618900697071,412.5,430.37704918032756,-45.5,27.622950819672422,301,290
US100,M15,long,hidden,none,candle,1.5,562,0.40391459074733094,0.009072921143607068,5.098981682707173,1.0152026422229985,340.5,335.4010183172928,-1.8210183172927792,6.919999999999952,284,278
