direction,k,tol,bottoms,entry,tp,trades,avg_r,net05,winrate,pf,h1_avg_r,h2_avg_r,pos_ds,n_ds
long,3,0.5,3,confirm,3.5R,64,0.38648818256958417,0.28947304346284997,0.40625,1.7038579032305563,0.39237821126578354,0.3827125231489435,4,5
long,3,0.5,3,touch,3.5R,92,0.3066070719210392,0.1957233724004892,0.358695652173913,1.5052626713769002,0.42962227562347494,0.22752586954090193,6,6
long,3,0.5,3,confirm,2.5R,64,0.2506559936821846,0.15364085457545043,0.421875,1.4938188419719858,0.32280341949876223,0.20440764379976314,3,5
long,3,0.5,3,confirm,1.5R,64,0.20119738996586137,0.10418225085912716,0.5,1.4521690092288837,0.33513093130470073,0.11534255577429761,4,5
long,3,1.0,3,confirm,3.5R,169,0.18180465219373027,0.09482162606126368,0.36094674556213013,1.4417665190479934,0.13161359851459611,0.22381238190344033,6,8
long,3,0.5,3,touch,2.5R,92,0.19470133657526087,0.08381763705471097,0.3913043478260869,1.353102255056629,0.35973638612036013,0.08860737615341141,2,6
long,5,1.0,2,touch,3.5R,650,0.1572119409191686,0.06772195212383389,0.32769230769230767,1.2926381294915095,0.2058116799746372,0.11477470479868732,10,12
long,3,0.5,2,touch,3.5R,663,0.1737990185616118,0.06376971310594985,0.3152337858220211,1.3043371698621935,0.23682499144921004,0.11811413910694397,10,12
long,5,1.0,2,confirm,3.5R,520,0.13360687356111406,0.05586603167958633,0.33076923076923076,1.2876296699934313,0.17928496528581622,0.09475611227213249,10,12
long,3,1.0,2,touch,3.5R,935,0.14688924374838455,0.04307793226428784,0.309090909090909,1.2412892688935546,0.24007272443210623,0.06547041092653555,9,12
long,3,1.0,3,confirm,2.5R,170,0.12474576357766491,0.037987951275283025,0.38235294117647056,1.3319457180726961,0.13438710675066878,0.11657158132229205,5,8
long,3,1.0,3,touch,1.5R,242,0.1317118891725834,0.03297503368049006,0.4669421487603306,154958678.89591223,0.16013012209120572,0.10722848850423178,9,10
