direction,level,closeback,depth_cap,div,entry,rr,trades,winrate,avg_r,sum_r,pf,risk_pct,h1_avg_r,h2_avg_r,pos_datasets
long,piv3,2,1.0,False,next_open,3.5,4734,0.23151668779045204,0.02396931276841265,113.47072664566548,1.0305761158700566,0.0022591740793084176,-0.024761022346627325,0.07378208164081361,4
long,major,2,none,True,break,3.5,592,0.23310810810810811,0.018596733027804874,11.009265952460485,1.024070697957333,0.004616490385849389,-0.041365427183555764,0.07168425066716239,6
long,major,2,1.0,True,break,3.5,545,0.23119266055045873,0.0179311032147573,9.772451252042728,1.0230584636818552,0.0042236938443292234,-0.06366756804330563,0.0902122791388546,6
long,piv3,2,none,False,break,3.5,2829,0.22940968540120185,0.012344513216548014,34.92262788961433,1.015807345494406,0.003961170320523426,-0.011716806286636515,0.037466338853904685,5
long,piv3,2,none,False,next_open,3.5,4801,0.22911893355550927,0.011928450518533884,57.26849093948118,1.0151794099065683,0.0024852682547973222,-0.018616909629333208,0.04318177308027906,5
long,piv3,2,1.0,False,break,3.5,2783,0.2285303629177147,0.009694389588797665,26.9794862256239,1.0124040029809152,0.0037285878275584577,-0.03267637726905631,0.05447650090197666,6
long,major,2,none,False,next_open,3.5,1698,0.22850412249705537,0.006258763562790565,10.627380529618378,1.0079724487939683,0.002858206777069989,-0.019117017309268916,0.029680350664408328,4
long,major,2,1.0,False,next_open,3.5,1564,0.22698209718670076,0.00348955552213148,5.457664836613635,1.0044270088840346,0.0025140660451767223,-0.05481488118648619,0.05666206137131092,4
long,piv3,1,1.0,False,next_open,3.5,4436,0.22700631199278629,0.002603506025480572,11.549152729031817,1.0032983331729146,0.002175212449713517,-0.06808125907379056,0.07399287684844179,4
long,piv3,2,1.0,True,break,3.5,978,0.2280163599182004,0.0018738567260600072,1.832631878086687,1.0023915414441624,0.004133780575438553,-0.10567343167681094,0.1034344173450733,5
long,piv3,1,none,False,next_open,3.5,4492,0.22617987533392697,-0.0012806253552273554,-5.752569095681281,0.9983781805347538,0.0022746446625424854,-0.06289321098486586,0.06055180892964624,4
