direction,level,closeback,div,entry,rr,trades,avg_r,winrate,pf,risk_pct,h1_avg_r,h2_avg_r,pos_datasets
long,PW,1,True,break,3.5,42,0.44685428249917486,0.35714285714285715,1.6810846714845071,0.01030733293992287,0.817995379421744,-0.15625,4
long,PW,1,True,break,2.5,42,0.37648096606895737,0.40476190476190477,1.6324880229958483,0.01030733293992287,0.8197000221113927,-0.34375,4
long,PW,2,True,break,3.5,49,0.3539414666035716,0.3469387755102041,1.5327190608158474,0.010587484318290543,0.7506622172209387,-0.13294309097228799,4
long,PW,1,True,next_open,3.5,74,0.33783783783783783,0.2972972972972973,1.4807692307692308,0.005311163894936447,0.7560975609756098,-0.18181818181818182,6
long,PW,2,True,next_open,3.5,82,0.27570232200710837,0.2926829268292683,1.3897860414583254,0.005778805489277489,0.7142857142857143,-0.1848102398854278,6
long,PW,2,True,break,2.5,49,0.27321331782665054,0.3877551020408163,1.4462484191168625,0.010587484318290543,0.7523037249961559,-0.31476127279046984,4
long,PW,1,True,next_open,2.5,74,0.18243243243243243,0.33783783783783783,1.2755102040816326,0.005311163894936447,0.36585365853658536,-0.045454545454545456,4
long,PD,2,False,break,3.5,659,0.17150907097141832,0.26555386949924126,1.232214229750299,0.005739454069845855,0.3331011699136351,0.003413265260629462,7
long,PW,1,True,break,1.5,42,0.13095238095238096,0.4523809523809524,1.2391304347826086,0.01030733293992287,0.34615384615384615,-0.21875,4
long,PW,2,True,next_open,2.5,82,0.12326329761686447,0.32926829268292684,1.183774370992416,0.005778805489277489,0.3333333333333333,-0.0973102398854278,5
long,PD,1,False,break,3.5,496,0.12163323818537726,0.2540322580645161,1.1600645640003628,0.005162340716654291,0.2551300886600378,-0.019618616051296747,6
long,PW,1,True,next_open,1.5,74,0.08108108108108109,0.43243243243243246,1.1428571428571428,0.005311163894936447,0.21951219512195122,-0.09090909090909091,4
long,PD,2,False,break,2.5,697,0.07909533513848802,0.3113342898134864,1.1142103177626816,0.005848034301010751,0.17673008708728083,-0.025803907282685203,5
long,PD,2,False,next_open,3.5,1050,0.07154491542993682,0.24095238095238095,1.0937728419201445,0.004130143829033523,0.16164460378799977,-0.021697785312709682,6
long,PW,2,True,break,1.5,49,0.07142857142857142,0.42857142857142855,1.125,0.010587484318290543,0.2962962962962963,-0.20454545454545456,4
long,PD,2,True,break,3.5,246,0.06876214565826311,0.24796747967479674,1.0890686907886165,0.005785036745568938,0.41601290870092705,-0.2841812528441166,7
long,PD,2,True,next_open,3.5,379,0.03982671380790851,0.23746701846965698,1.0514658230889662,0.004160058820004822,0.29033343250108584,-0.19905855917269874,5
long,PD,2,False,next_open,2.5,1107,0.038640265900593544,0.2990063233965673,1.0548318716703566,0.004145482873894819,0.11479465998512302,-0.043372158498130496,5
short,PD,2,False,break,3.5,892,0.037830246198788574,0.2320627802690583,1.0492031768586088,0.004099401993122003,-0.015526902511174449,0.10286756676565892,6
long,PW,2,True,next_open,1.5,82,0.036585365853658534,0.4146341463414634,1.0625,0.005778805489277489,0.19047619047619047,-0.125,4
short,PD,1,False,break,3.5,687,0.009967537883476527,0.22561863173216884,1.0128669466055191,0.004071282893723842,-0.07568971196128166,0.11352742837102983,5
short,PD,2,False,next_open,3.5,1289,0.009067443224148713,0.22575640031031807,1.0116200001664999,0.0027282765359101856,-0.04582687220854984,0.076381716034539,5
