symbol,tf,direction,level,closeback,div,entry,rr,trades,winrate,avg_r,sum_r,pf,gross_win,gross_loss,risk_pct,h1_sum_r,h2_sum_r,h1_trades,h2_trades
US100,M15,long,PD,1,False,next_open,1.5,94,0.3617021276595745,-0.1175950274922308,-11.053932584269695,0.8218657202868106,51.0,62.053932584269695,0.0017610953022420075,-4.553932584269695,-6.5,45,49
US100,M15,long,PD,1,False,next_open,2.5,94,0.30851063829787234,0.05793688740138622,5.446067415730305,1.0812192097590398,72.5,67.05393258426969,0.0017610953022420075,1.9460674157303046,3.5,45,49
US100,M15,long,PD,1,False,next_open,3.5,94,0.2553191489361702,0.110291177381656,10.367370673875664,1.1438834814706422,82.42130325814536,72.05393258426969,0.0017610953022420075,6.946067415730305,3.4213032581453593,45,49
US100,M15,long,PD,1,False,break,1.5,59,0.3389830508474576,-0.18966193311956056,-11.190054054054073,0.7283311636501067,30.0,41.19005405405407,0.003277229068487556,-11.190054054054073,0.0,29,30
US100,M15,long,PD,1,False,break,2.5,59,0.2542372881355932,-0.14728905176362836,-8.690054054054073,0.8118630897490506,37.5,46.19005405405407,0.003277229068487556,-6.690054054054073,-2.0,29,30
US100,M15,long,PD,1,False,break,3.5,58,0.20689655172413793,-0.13650787117049187,-7.917456527888529,0.8357035142768747,40.27259752616554,48.19005405405407,0.003242259779871681,-3.190054054054073,-4.727402473834457,28,30
US100,M15,long,PD,2,False,next_open,1.5,135,0.34074074074074073,-0.16336246358718293,-22.053932584269695,0.7577926404896467,69.0,91.05393258426969,0.002444357525709915,-4.053932584269695,-18.0,67,68
US100,M15,long,PD,2,False,next_open,2.5,135,0.2962962962962963,0.021822721598002255,2.9460674157303046,1.0303549514922778,100.0,97.05393258426969,0.002444357525709915,7.946067415730305,-5.0,67,68
US100,M15,long,PD,2,False,next_open,3.5,135,0.24444444444444444,0.06513669826079206,8.793454265206929,1.0845086201627738,112.84738684947662,104.05393258426969,0.002444357525709915,10.87215100706157,-2.0786967418546407,67,68
US100,M15,long,PD,2,False,break,1.5,96,0.3333333333333333,-0.18947972972972993,-18.190054054054073,0.7251844810521053,48.0,66.19005405405407,0.00369245868300892,-7.690054054054073,-10.5,48,48
